action step time valid done rdy ack
producer 411 1206.102329748387 0 0 0 1
consumer 412 1213.073986551849 0 1 0 1
reciever 413 1215.4268556612035 0 1 0 0
consumer 414 1216.1540799073885 0 0 0 0
producer 415 1219.1180756514964 1 0 0 0
sender 416 1219.3235937670697 1 0 1 0
reciever 417 1220.0303488355983 1 0 1 1
sender 418 1220.08031033076 1 0 0 1
consumer 419 1223.0228223953068 1 1 0 1
reciever 420 1223.0361258099138 1 1 0 0
sender 421 1224.4844655087556 1 1 1 0
consumer 422 1227.3514229778846 1 0 1 0
reciever 423 1228.4922259061257 1 0 1 1
sender 424 1228.946988198814 1 0 0 1
consumer 425 1229.6975165044034 1 1 0 1
reciever 426 1229.9558094460758 1 1 0 0
sender 427 1230.0537562203524 1 1 1 0
consumer 428 1233.172479963595 1 0 1 0
reciever 429 1233.7603886435825 1 0 1 1
sender 430 1233.959798803104 1 0 0 1
producer 431 1235.722194481425 0 0 0 1
producer 432 1235.880323596213 1 0 0 1
consumer 433 1236.8501831660692 1 1 0 1
reciever 434 1237.4881168101867 1 1 0 0
sender 435 1239.1110437269497 1 1 1 0
consumer 436 1255.6022550906398 1 0 1 0
reciever 437 1256.7532703944694 1 0 1 1
consumer 438 1256.8243621568754 1 1 1 1
sender 439 1259.3724876508913 1 1 0 1
producer 440 1259.6342469982233 0 1 0 1
reciever 441 1263.1198274345568 0 1 0 0
consumer 442 1264.864175657662 0 0 0 0
producer 443 1271.8583168378827 1 0 0 0
producer 444 1273.414294184799 0 0 0 0
producer 445 1284.665669801201 1 0 0 0
sender 446 1285.8084488760232 1 0 1 0
reciever 447 1287.3153048884838 1 0 1 1
sender 448 1287.446554770031 1 0 0 1
consumer 449 1289.4767337913097 1 1 0 1
reciever 450 1292.3104168300888 1 1 0 0
sender 451 1293.3877607206236 1 1 1 0
[Fault] 452 1310.0343754581615 0 1 1 0
consumer 453 1334.8190930646929 0 0 1 0
reciever 454 1336.1264631129384 0 0 1 1
sender 455 1336.1729370383603 0 0 0 1
producer 456 1337.0836145348562 1 0 0 1
consumer 457 1343.4602546822966 1 1 0 1
reciever 458 1344.1968587001363 1 1 0 0
sender 459 1345.85319554618 1 1 1 0
consumer 460 1356.5303381114556 1 0 1 0
reciever 461 1356.7084197815873 1 0 1 1
sender 462 1359.2846870332814 1 0 0 1
producer 463 1361.2665081118678 0 0 0 1
producer 464 1362.5680165364504 1 0 0 1
consumer 465 1371.965599339148 1 1 0 1
producer 466 1372.0674236303319 0 1 0 1
reciever 467 1373.4149257093854 0 1 0 0
consumer 468 1373.8150424444996 0 0 0 0
producer 469 1379.9861052987503 1 0 0 0
sender 470 1380.856585596867 1 0 1 0
reciever 471 1381.5546210237128 1 0 1 1
consumer 472 1383.3711203184157 1 1 1 1
sender 473 1384.1557532455618 1 1 0 1
reciever 474 1384.331415306925 1 1 0 0
sender 475 1384.4907848753928 1 1 1 0
[Fault] 476 1392.8643146504817 0 1 1 0
consumer 477 1393.1501519426117 0 0 1 0
